Definitions:,Day or Night,What's the weather?,Is there wildfire or smoke?,Are there pelicans?,Are there pods?,How many pods?,Are the birds flying around/away from somewhere?,Are the babies on a nest or in a pod?,Are there predators?,Have the parents abandoned their young?,Is this a pretty photo?
20170322021500.jpg',night,,,,,,,,,,
20170322055000.jpg',night,,,,,,,,,,
20170322062000.jpg',night,,,,,,,,,,
20170323083000.jpg',night,,,,,,,,,,
20170323141000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170323142500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170323143000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170323161500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170323183500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170324013000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,TRUE
20170324033500.jpg',night,,,,,,,,,,
20170324040500.jpg',night,,,,,,,,,,
20170324083000.jpg',night,,,,,,,,,,
20170324090500.jpg',night,,,,,,,,,,
20170324101500.jpg',night,,,,,,,,,,
20170324103500.jpg',night,,,,,,,,,,
20170324112500.jpg',night,,,,,,,,,,
20170324142500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170324151500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170324225000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170325032000.jpg',night,,,,,,,,,,
20170325083500.jpg',night,,,,,,,,,,
20170325163000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170325181000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170325211500.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170326115500.jpg',night,,,,,,,,,,
20170326160000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170326192000.jpg',day,cloudy,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170326231500.jpg',day,partly cloudy,FALSE,FALSE,FALSE,,TRUE,,FALSE,,TRUE
20170327022000.jpg',night,,,,,,,,,,
20170327031000.jpg',night,,,,,,,,,,
20170327032000.jpg',night,,,,,,,,,,
20170327060500.jpg',night,,,,,,,,,,
20170328075500.jpg',night,,,,,,,,,,
20170328103000.jpg',night,,,,,,,,,,
20170328141000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170328163500.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170328181000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170328212000.jpg',day,sun,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170329032500.jpg',night,,,,,,,,,,
20170329083500.jpg',night,,,,,,,,,,
20170329094500.jpg',night,,,,,,,,,,
20170329183500.jpg',day,sun,FALSE,FALSE,FALSE,,TRUE,,FALSE,,FALSE
20170330035500.jpg',night,,,,,,,,,,
20170330051500.jpg',night,,,,,,,,,,
20170330060000.jpg',night,,,,,,,,,,
20170330081500.jpg',night,,,,,,,,,,
20170330111500.jpg',night,,,,,,,,,,
20170330153000.jpg',day,rain,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE
20170330180500.jpg',day,rain,FALSE,FALSE,FALSE,,TRUE,,FALSE,,FALSE
20170330230000.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170331021000.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,TRUE
20170331045500.jpg',night,,,,,,,,,,
20170331050000.jpg',night,,,,,,,,,,
20170331091000.jpg',night,,,,,,,,,,
20170331132500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170331150000.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,TRUE
20170401001000.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,TRUE
20170401073500.jpg',night,,,,,,,,,,
20170401115500.jpg',night,,,,,,,,,,
20170401140500.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,TRUE
20170401155000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170401195000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402000500.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402010000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402044000.jpg',night,,,,,,,,,,
20170402052500.jpg',night,,,,,,,,,,
20170402053500.jpg',night,,,,,,,,,,
20170402113000.jpg',night,,,,,,,,,,
20170402132000.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402165500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402194500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170402215000.jpg',day,sun,FALSE,TRUE,TRUE,2,FALSE,,FALSE,,FALSE
20170402215500.jpg',day,sun,FALSE,TRUE,TRUE,2,FALSE,,FALSE,,FALSE
20170403120500.jpg',night,,,,,,,,,,
20170403171500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170403174500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170403183000.jpg',day,partly cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170403201500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170403220500.jpg',day,cloudy,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170404014000.jpg',day,sun,FALSE,TRUE,TRUE,1,FALSE,,FALSE,,FALSE
20170404081000.jpg',night,,,,,,,,,,
20170404085000.jpg',night,,,,,,,,,,
20170404102000.jpg',night,,,,,,,,,,
20170404103000.jpg',night,,,,,,,,,,
20170404122000.jpg',night,,,,,,,,,,
20170404153500.jpg',day,sun,FALSE,TRUE,TRUE,2,FALSE,,FALSE,,FALSE
20170404155500.jpg',day,sun,FALSE,TRUE,TRUE,2,TRUE,,FALSE,,FALSE
20170404202500.jpg',day,sun,FALSE,TRUE,TRUE,2,FALSE,,FALSE,,FALSE
20170405071000.jpg',night,,,,,,,,,,
20170405140500.jpg',day,cloudy,FALSE,TRUE,TRUE,2,FALSE,,FALSE,,FALSE
20170405191500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170406020500.jpg',day,sun,FALSE,TRUE,TRUE,3,TRUE,,FALSE,,FALSE
20170406082500.jpg',night,,,,,,,,,,
20170406140000.jpg',day,sun,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170406172000.jpg',day,sun,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170406225500.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170406230500.jpg',day,cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170407022000.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170407072500.jpg',night,,,,,,,,,,
20170407111000.jpg',night,,,,,,,,,,
20170407224500.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170408015500.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170408022000.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170408022500.jpg',day,cloudy,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170408080000.jpg',night,,,,,,,,,,
20170408104000.jpg',night,,,,,,,,,,
20170408111500.jpg',night,,,,,,,,,,
20170408191500.jpg',day,cloudy,FALSE,TRUE,TRUE,3,TRUE,,FALSE,,FALSE
20170408192000.jpg',day,cloudy,FALSE,TRUE,TRUE,3,TRUE,,FALSE,,FALSE
20170409032500.jpg',night,,,,,,,,,,
20170409171000.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170409184000.jpg',day,sun,FALSE,TRUE,TRUE,4,TRUE,,FALSE,,FALSE
20170409200500.jpg',day,sun,FALSE,TRUE,TRUE,5,TRUE,,FALSE,,FALSE
20170410055500.jpg',night,,,,,,,,,,
20170410105500.jpg',night,,,,,,,,,,
20170410111000.jpg',night,,,,,,,,,,
20170410133000.jpg',day,sun,FALSE,TRUE,TRUE,5,TRUE,,FALSE,,FALSE
20170410200000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170410205000.jpg',day,sun,FALSE,TRUE,TRUE,5,TRUE,,FALSE,,FALSE
20170410232000.jpg',day,sun,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170411012000.jpg',day,sun,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170411093000.jpg',night,,,,,,,,,,
20170411124500.jpg',day,cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170411143000.jpg',day,cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170411144000.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170411155000.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170412150500.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170412170500.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170412172000.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170413072500.jpg',night,,,,,,,,,,
20170413123500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170413194500.jpg',day,sun,FALSE,TRUE,TRUE,3,FALSE,,FALSE,,FALSE
20170413221500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170413222500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170414000500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170414015000.jpg',day,cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170414101500.jpg',night,,,,,,,,,,
20170414130000.jpg',day,cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170414150500.jpg',day,sun,FALSE,TRUE,TRUE,4,TRUE,,FALSE,,FALSE
20170414220500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170415060500.jpg',night,,,,,,,,,,
20170415173000.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170415180500.jpg',day,sun,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170416013000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170416015500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170416031000.jpg',night,,,,,,,,,,
20170416145000.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170416183000.jpg',day,partly cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170416212000.jpg',day,partly cloudy,FALSE,TRUE,TRUE,4,FALSE,,FALSE,,FALSE
20170417022500.jpg',day,cloudy,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170417153500.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170417162500.jpg',day,partly cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170417224000.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170418105000.jpg',night,,,,,,,,,,
20170418121500.jpg',night,,,,,,,,,,
20170418182000.jpg',day,cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170419020500.jpg',day,cloudy,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170419122000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170419161500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170419224000.jpg',day,partly cloudy,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170420002500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170420061500.jpg',night,,,,,,,,,,
20170420062500.jpg',night,,,,,,,,,,
20170420092500.jpg',night,,,,,,,,,,
20170420093500.jpg',night,,,,,,,,,,
20170420171000.jpg',day,cloudy,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170421061500.jpg',night,,,,,,,,,,
20170421122500.jpg',day,sun,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170421140000.jpg',day,sun,FALSE,TRUE,TRUE,6,FALSE,,FALSE,,FALSE
20170422035000.jpg',night,,,,,,,,,,
20170422044000.jpg',night,,,,,,,,,,
20170422091000.jpg',night,,,,,,,,,,
20170422092500.jpg',night,,,,,,,,,,
20170422195000.jpg',day,sun,FALSE,TRUE,TRUE,4,TRUE,,FALSE,,FALSE
20170422211500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170423125000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170423151500.jpg',day,sun,FALSE,TRUE,TRUE,8,FALSE,,FALSE,,FALSE
20170423154000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170423161000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170423213000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170423221000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170423223000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170424000500.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170424020000.jpg',day,sun,FALSE,TRUE,TRUE,7,TRUE,,FALSE,,TRUE
20170424075000.jpg',night,,,,,,,,,,
20170424140000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170424163000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170424191000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170424230000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170425000000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170425023500.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170425095500.jpg',night,,,,,,,,,,
20170425105000.jpg',night,,,,,,,,,,
20170425113000.jpg',night,,,,,,,,,,
20170425114000.jpg',night,,,,,,,,,,
20170425163000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170425185500.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170425224500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170426060000.jpg',night,,,,,,,,,,
20170426072000.jpg',night,,,,,,,,,,
20170426081000.jpg',night,,,,,,,,,,
20170426120000.jpg',night,,,,,,,,,,
20170426163500.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170426194500.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170426233000.jpg',day,rain,FALSE,TRUE,TRUE,9,FALSE,,FALSE,,FALSE
20170427105000.jpg',night,,,,,,,,,,
20170427130500.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428060000.jpg',night,,,,,,,,,,
20170428070000.jpg',night,,,,,,,,,,
20170428071500.jpg',night,,,,,,,,,,
20170428120500.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428123500.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428153000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428162000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428172000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170428205500.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170429023500.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170429030000.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170429054500.jpg',night,,,,,,,,,,
20170429131500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170429170000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170429195500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170429222000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170429230500.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,TRUE
20170430053000.jpg',night,,,,,,,,,,
20170430055000.jpg',night,,,,,,,,,,
20170430092000.jpg',night,,,,,,,,,,
20170430093000.jpg',night,,,,,,,,,,
20170430224500.jpg',day,cloud,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170501043000.jpg',night,,,,,,,,,,
20170501175500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170501200500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170501223500.jpg',day,sun,FALSE,TRUE,TRUE,5,TRUE,,FALSE,,FALSE
20170502004000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170502023500.jpg',day,sun,FALSE,TRUE,TRUE,5,TRUE,,FALSE,,FALSE
20170502033000.jpg',night,,,,,,,,,,
20170502050500.jpg',night,,,,,,,,,,
20170502075500.jpg',night,,,,,,,,,,
20170502104500.jpg',night,,,,,,,,,,
20170502175000.jpg',day,sun,FALSE,TRUE,TRUE,7,FALSE,,FALSE,,FALSE
20170503050000.jpg',night,,,,,,,,,,
20170503085500.jpg',night,,,,,,,,,,
20170503095500.jpg',night,,,,,,,,,,
20170503124500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170503130000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170503201500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170503233500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170504043000.jpg',night,,,,,,,,,,
20170504150500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170504191000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170505020000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170505105000.jpg',night,,,,,,,,,,
20170505230500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170505231500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170506003500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170506021000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170506035000.jpg',night,,,,,,,,,,
20170506143000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170506211000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170506234500.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170507051500.jpg',night,,,,,,,,,,
20170507084000.jpg',night,,,,,,,,,,
20170507090000.jpg',night,,,,,,,,,,
20170507162000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170508085000.jpg',night,,,,,,,,,,
20170508105500.jpg',night,,,,,,,,,,
20170508212500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170508214500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170508232500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170509025000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170509031000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170509110000.jpg',night,,,,,,,,,,
20170509182500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170510163500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170510214500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170511075500.jpg',night,,,,,,,,,,
20170511203500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170511232000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170512022500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170512072000.jpg',night,,,,,,,,,,
20170512094500.jpg',night,,,,,,,,,,
20170513054000.jpg',night,,,,,,,,,,
20170513080000.jpg',night,,,,,,,,,,
20170513113500.jpg',night,,,,,,,,,,
20170513114000.jpg',night,,,,,,,,,,
20170513124500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170513150000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170513164000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170513175000.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170513224500.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170514024000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170514034000.jpg',night,,,,,,,,,,
20170514123000.jpg',day,sun,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
20170514144500.jpg',day,cloud,FALSE,TRUE,TRUE,5,FALSE,,FALSE,,FALSE
